CONTEXT (DO NOT MODIFY),ENGLISH (DO NOT MODIFY),LOCALIZED (EDIT THIS COLUMN)
traveler:RED_STAMP,@What?,@ماذا؟
traveler:RED_STAMP,Give me red stamp.,اعطني الختم الأحمر.
traveler:RED_STAMP,I am serious.,أنا جاد.
traveler:RED_STAMP,I have better job offer in Impor.,لدي عرض وظيفي أفضل في إمبور.
traveler:RED_STAMP,Red stamp and I can break contract in Arstotzka.,ختم احمر وسأتمكن من فسخ العقد في أرستوتزكا.
traveler:RED_STAMP,10 credits for you.,10 دولار لك.
traveler:RED_STAMP,Damn it.,تبًا لهذا.
traveler:RED_STAMP,I am sure you deny people all day.,أنا متأكد أنك ترفض الناس طوال اليوم.
traveler:RED_STAMP,Why not now?,لماذا ليس الآن؟
traveler:RED_STAMP,I figure something else out.,سأجد حلاً آخر.
traveler:RED_STAMP,"Ok, now I get free from this bad job.","حسنًا، الآن أصبحت حرًا من هذه الوظيفة السيئة."
traveler:RED_STAMP,Thanks.,Thanks.
traveler:NEED_SURGERY,I come for medical reasons.,لقد أتيت لأسباب صحية.
traveler:NEED_SURGERY,@Your papers are missing.,@أوراقك مفقودة.
traveler:NEED_SURGERY,Please.,لو سمحت.
traveler:NEED_SURGERY,Surgery I need is outlawed in Kolechia.,الجراحة التي أحتاجها محظورة في كوليشيا.
traveler:NEED_SURGERY,"Even so, I do not trust doctors there.","ومع ذلك، لا أثق بالأطباء هناك."
traveler:NEED_SURGERY,Only Arstotzka have skilled surgeons.,فقط أرستوتزكا لديها أطباء ماهرون.
traveler:NEED_SURGERY,@You do not have the right documents.,@ليس لديك الوثائق الصحيحة.
traveler:NEED_SURGERY,Yes.,نعم.
traveler:NEED_SURGERY,They will not give papers for surgery.,لن يعطوا أوراقًا للعملية الجراحية.
traveler:NEED_SURGERY,Thank you. I will not forget this.,شكرا لك. لن أنسى هذا.
traveler:NEED_SURGERY,I expected this.,لقد توقعت هذا.
traveler:NEED_SURGERY,I do not know how long I survive.,لا أعرف كم من الوقت سأبقى على قيد الحياة.
traveler:NEED_SURGERY,But you do not care.~,لكن أنت لا تهتم.~
traveler:NEED_SURGERY,I hope you are not in same place as me.,أتمنى أن لا تكون نفس مكاني.
traveler:LOVE_SONG,I will leave this here.,سأتركه هنا.
traveler:LOVE_SONG,Great!,عظيم!
traveler:LOVE_SONG,You really super guy!~,أنت رجلٌ خارق!~
traveler:LOVE_SONG,Can I have note back now?,هل يمكنني استعادة الملاحظة الآن؟
traveler:LOVE_SONG,I need it for next inspector.,أحتاجها للمفتش القادم.
traveler:LOVE_SONG,But I give you such lovely note!,ولكنني أعطيتك ملاحظة جميلة جدًا!
traveler:LOVE_SONG,"Thanks and like I say, you super guy.","شكرًا لك وكما أقول، أنت رجل خارق."
traveler:LOVE_SONG,Do not forget.,لا تنسى.
traveler:LOVE_SONG,Is too much?,هل هذا كثير جدًا؟
traveler:LOVE_SONG,@Yes.,@نعم.
traveler:LOVE_SONG,Is too much. I can see that now.,هذا كثير جدًا. أستطيع أن أرى ذلك الآن.
traveler:LOVE_SONG,Next time I make couple copies first.,في المرة القادمة سأقوم بعمل نسختين أولاً.
traveler:LOVE_SONG_LONELY,Life sucks.,الحياة سيئة.
traveler:LOVE_SONG_LONELY,Nobody loves me.,لا أحد يحبني.
traveler:LOVE_SONG_LONELY,For me?,لي؟
traveler:LOVE_SONG_LONELY,Like fire?,مثل النار؟
traveler:LOVE_SONG_LONELY,Object of desire?,هدف الرغبة؟
traveler:LOVE_SONG_LONELY,"Wow, nobody say such nice things!","واو، لم يقل لي أحد مثل هذه الأشياء الجميلة!"
traveler:LOVE_SONG_LONELY,Part about visa is confusing but rest is very powerful.,الجزء المتعلق بالتأشيرة محير، لكن الباقي قوي جدًا.
traveler:LOVE_SONG_LONELY,Thank you!,شكرًا لك!
traveler:LOVE_SONG_LONELY,Thank you again!,شكرًا لك مرة أخرى!
traveler:LOVE_SONG_LONELY,Thanks I guess.,شكرًا اعتقد.
traveler:LOVE_SONG_LONELY,No problem!,لا يوجد مشكلة!
traveler:LOVE_SONG_LONELY,Today is good day anyway!,اليوم هو يوم جيد على أي حال!
traveler:LOVE_SONG_LONELY,Even you hate me.,حتى أنت تكرهني.
traveler:LOVE_SONG_LONELY,Some guy I do not even know.,شخصٌ ما لا أعرفه حتى.
traveler:KOLECHIAN_HATER,It was a mistake to open this checkpoint.,كان من الخطأ فتح هذي النقطة التفتيشية.
traveler:FINALLY_RETURN_HOME,Finally I can return home.,وأخيرًا يمكنني العودة إلى المنزل.
traveler:FINALLY_RETURN_HOME,You bastard.,أنت وغد.
traveler:FINALLY_RETURN_HOME,Thank you.,شكرًا لك.
traveler:SMALL_CHECKPOINT,This checkpoint is smaller than I expected.,هذي النقطة التفتيشية أصغر مما توقعت.
traveler:WAITED_FOREVER,I have waited in this damn line since for 8 hours.,لقد انتظرت في هذا الطابور اللعين لمدة 8 ساعات.
traveler:WAITED_FOREVER,I hope it was worth it.,آمل أن يكون ذلك قد استحق الانتظار.
traveler:WAITED_FOREVER,Unbelievable. Go to hell.غير معقول. اذهب إلى الجحيم.
traveler:HURRY_UP,Hurry up.,اسرع.
traveler:HURRY_UP,I am meeting bus soon.,سألتقي بالحافلة قريبًا.
traveler:HURRY_UP,What is this?,ما هذا ؟
traveler:HURRY_UP,Finally.,أخيرًا
traveler:GLAD_YOU_HAVE_JOB,I heard about terrorist attack.,لقد سمعت عن الهجوم الإرهابي.
traveler:GLAD_YOU_HAVE_JOB,You are lucky to have a job still.,أنت محظوظ لأن لديك وظيفة حتى الآن.
traveler:GLAD_YOU_HAVE_JOB,Be safe.,كن آمنًا
traveler:TICKET_NOT_PERMIT,What? I do not know. To visit?,ماذا؟ لا أعرف. للزيارة؟
traveler:TICKET_NOT_PERMIT,A few days maybe.,ربما لبضعة أيام.
traveler:TICKET_NOT_PERMIT,Entry permit? I have ticket here.,تصريح الدخول؟ أنا لدي تذكرة هنا.
traveler:TICKET_NOT_PERMIT,Let me through.,دعني أمر.
traveler:TICKET_NOT_PERMIT,@Ticket is not enough any more.,@التذكرة لم تعد كافية بعد الآن.
traveler:TICKET_NOT_PERMIT,@Get a permit.,@احصل على تصريح.
traveler:TICKET_NOT_PERMIT,Bullshit!,هراء!
traveler:TICKET_NOT_PERMIT,I paid good money for ticket.,لقد دفعت مبلغًا جيدًا مقابل التذكرة.
traveler:VISIT_SON,I am so happy that the border has opened.,أنا سعيد جدًا لأن الحدود فتحت.
traveler:VISIT_SON,I will visit my son. I have not seen him in six years. [Speech/Purpose],سأزور ابني. لم أره منذ ست سنوات. [Speech/Purpose]
traveler:VISIT_SON,6 months. [Speech/Duration],6 أشهر. [Speech/Duration]
traveler:VISIT_SON,"Please, let me pass. My son is waiting.","من فضلك، دعني أمر. ابني في انتظاري."
traveler:VISIT_SON,Thank you.,شكرًا.
traveler:VISIT_SON,Curse you.,اللعنة عليك.
traveler:DETAIN_FIRST,Hey wait.,مهلًا انتظر.
traveler:DETAIN_FIRST,"Do not arrest me, please.","لا تعتقلوني, رجاءًا"
traveler:DETAIN_FIRST,Just deny my passport and I will go away.,فقط ارفض جواز سفري وسأغادر.
traveler:HATE_COUNTRY,It is not my choice. I hate this damn country.,لم يكن الأمر من اختياري. أنا أكره هذه الدولة اللعينة.
traveler:HATE_COUNTRY,I am just passing through. [Speech/Purpose],أنا أمر من هنا فقط. [Speech/Purpose]
traveler:HATE_COUNTRY,As little as possible. 2 days. [Speech/Duration],أقل قدر ممكن. يومان. [Speech/Duration]
traveler:HATE_COUNTRY,Ugh.,آه.
traveler:HATE_COUNTRY,Just as well.,على ما يرام.
traveler:SEARCH_BRIBE_INTRO,Slow down my friend.,تركّد يا صديقي.
traveler:SEARCH_BRIBE_INTRO,I have only harmless medicine.,لدي فقط دواء غير ضار.
traveler:SEARCH_BRIBE_INTRO,I give you 10 credits to let me through.,أعطيك 10 دولار لكي تسمح لي بالمرور.
traveler:SEARCH_BRIBE_INTRO,Excellent.,ممتاز.
traveler:SEARCH_BRIBE_INTRO,As I promised.,كما وعدت.
traveler:SEARCH_BRIBE_INTRO,Why you turn down good money?,لماذا ترفض المال الجيد؟
traveler:SEARCH_BRIBE_INTRO,@You are lucky to escape arrest.,@أنت محظوظ لأنك هربت من الاعتقال.
traveler:SEARCH_BRIBE_INTRO,@Do not come back.,@لا تعد مرة أخرى.
traveler:SEARCH_BRIBE_INTRO,@You cannot bribe an officer of Arstotzka.,@لا يمكنك رشوة ضابط من أرستوتزكا.
traveler:SEARCH_BRIBE_INTRO,"They must pay well for such obedience, dog.","يجب أن يدفعوا جيدًا مقابل هذه الطاعة، أيها الكلب."
traveler:TWO_PASSPORTS,Shit!,تبًا!
traveler:TWO_PASSPORTS,I make small mistake.,ارتكبت خطأ بسيط.
traveler:TWO_PASSPORTS,Please give documents back.,من فضلك، أعِد الأوراق.
traveler:TWO_PASSPORTS,@Why do you have two passports?,@لماذا لديك جوازين سفر؟
traveler:TWO_PASSPORTS,Is funny story.,إنها قصة مضحكة
traveler:TWO_PASSPORTS,I tell you everything.,سأخبرك بكل شيء.
traveler:TWO_PASSPORTS,"First, you give papers back to me.","أولاً، عليك أن تعيد لي الأوراق."
traveler:TWO_PASSPORTS,And the others?,والبقية؟
traveler:TWO_PASSPORTS,Last one please.,الأخيرة من فضلك.
traveler:IDSUPPLEMENT_COMPLAIN,This id supplement is total pain.,هذا الملحق الخاص بالهوية يعتبر مُتعب جدًا.
traveler:IDSUPPLEMENT_COMPLAIN,Was not easy to get and only lasts few days.,لم يكن من السهل الحصول عليه ويستمر فقط لبضعة أيام.
traveler:IDSUPPLEMENT_COMPLAIN,You Arstotzkans just make it harder and harder.,أنتم أيها الأرستوتزكيون تجعلون الأمور أصعب وأصعب.
traveler:IDSUPPLEMENT_COMPLAIN,Why even have open border?,لماذا حتى لدينا الحدود مفتوحة؟
traveler:IDSUPPLEMENT_COMPLAIN,Bah.,باه.
traveler:IDSUPPLEMENT_COMPLAIN,Would be better to spend money on bribe.,سيكون من الأفضل إنفاق المال على الرشوة.
traveler:IDSUPPLEMENT_COMPLAIN,Less trouble and faster.,أقل مشاكل وأسرع.
traveler:IDSUPPLEMENT_COMPLAIN,I knew it would not even work.,كنت أعلم أنه لن ينجح حتى.
traveler:CRIMINAL_FIRST,@Funny to see you here.,@من المضحك رؤيتك هنا.
traveler:CRIMINAL_FIRST,@Just when starting to look for criminals.,@فقط عندما بدأنا بالبحث عن المجرمون.
traveler:CRIMINAL_FIRST,Criminals?,مجرمون؟
traveler:CRIMINAL_FIRST,What are you saying?,ماذا تقول ؟
traveler:DENIAL_REASON_FIRST,Denied?,مرفوض؟
traveler:DENIAL_REASON_FIRST,For what reason?,لأي سبب؟
traveler:DENIAL_REASON_FIRST,@It is clearly stamped there.,@من الواضح أن السبب مختوم هناك.
traveler:DENIAL_REASON_FIRST,Oh.~,أوه.~
traveler:DENIAL_REASON_FIRST,Screw you anyways.,اللعنة عليك على أي حال.
traveler:NO_IMPORIANS_FIRST,@Imporians are prohibited from entering.,@يُمنع الإمبوريون من الدخول.
traveler:NO_IMPORIANS_DAY,@Imporians are prohibited from entering.,@يُمنع الإمبوريون من الدخول.
traveler:NO_UNITEDFED_FIRST,@Do not bring your sickness to Arstotzka.,@لا تجلب مرضك إلى أرستوتزكا
traveler:NO_UNITEDFED_FIRST,What?,ماذا؟
traveler:NO_UNITEDFED_FIRST,I am perfectly healthy.,أنا بصحة جيدة تمامًا.
traveler:NO_UNITEDFED_FIRST,It is so easy to deny entry.,أنه من السهل رفض الدخول.
traveler:NO_UNITEDFED_FIRST,All this paperwork is wasted.,كل هذه الأوراق مهدرة.
traveler:NO_UNITEDFED,@Do not bring your sickness to Arstotzka.,@لا تجلب مرضك إلى أرستوتزكا
traveler:NO_UNITEDFED,What?,ماذا؟
traveler:NO_UNITEDFED,I am perfectly healthy.,أنا بصحة جيدة تمامًا.
traveler:NO_UNITEDFED,It is so easy to deny entry.,أنه من السهل رفض الدخول.
traveler:NO_UNITEDFED,All this paperwork is wasted.,كل هذه الأوراق مهدرة.
traveler:CONFISCATION_DISTRICT_FIRST,Thank you. It is good to be back home.,Thank you. شكرا لك. من الجيد أن أعود إلى المنزل.
traveler:CONFISCATION_DISTRICT_FIRST,I am leaving for trip soon so I just need my passport back.,سأغادر في رحلة قريبًا، لذا أحتاج فقط إلى استعادة جواز سفري.
traveler:CONFISCATION_DISTRICT_FIRST,@It is being confiscated.,@سيتم مصادرته.
traveler:CONFISCATION_DISTRICT_FIRST,What do you mean?,ماذا تعني؟
traveler:CONFISCATION_DISTRICT_FIRST,@Contact number on slip for recovery.,@رقم الاتصال موجود على الإيصال لاستعادة الجواز.
traveler:CONFISCATION_DISTRICT_FIRST,You can just hand it back.,يمكنك فقط إعادته.
traveler:CONFISCATION_DISTRICT_FIRST,@It has been filed. I cannot give it back.,@تم تقديمه. لا أستطيع إعادته.
traveler:CONFISCATION_DISTRICT_FIRST,I am not leaving without passport.,لن أغادر من دون جواز سفر.
traveler:CONFISCATION_DISTRICT_FIRST,Where is my passport?,أين جواز سفري ؟
traveler:CONFISCATION_DISTRICT_FIRST,You deny entry and take passport?,أنت ترفض الدخول وتأخذ جواز السفر؟
traveler:CONFISCATION_DISTRICT_FIRST,What am I supposed to do?,ماذا يجب أن أفعل؟
traveler:CONFISCATION_DISTRICT_FIRST,@Contact number on slip.,@رقم الإتصال موجود في الإيصال.
traveler:CONFISCATION_DISTRICT_FIRST,You cannot do this to me!,لا يمكنك أن تفعل هذا بي!
traveler:CONFISCATION_DISTRICT_FIRST,I am Arstotzkan citizen.,أنا مواطن أرستوتزكي.
traveler:CONFISCATION_DISTRICT_FIRST,I have right to travel freely.,لدي الحق في السفر بحرّية.
traveler:WHISTLEBLOWER,Thank you.,شكرًا
traveler:WHISTLEBLOWER,I hope that things are better here.,آمل أن تكون الأمور أفضل هنا.
traveler:WHISTLEBLOWER,What? I was promised asylum here.,ماذا؟ لقد وعدوني باللجوء هنا.
traveler:WHISTLEBLOWER,I have nowhere else to go.,ليس لدي مكان آخر للذهاب إليه.
traveler:WHISTLEBLOWER,@This is not my problem.,@هذه ليس مشكلتي.
traveler:ACCESSPERMIT_FIRST,You Arstotzkans keep changing rules here.,أنتم الأرستوتزكيون تستمرون في تغيير القوانين هنا.
traveler:ACCESSPERMIT_FIRST,My sister came through last week with different documents.,أختي مرت من هنا الأسبوع الماضي بوثائق مختلفة.
traveler:ACCESSPERMIT_FIRST,Now I need new access permit.,الآن أحتاج إلى تصريح وصول جديد.
traveler:ACCESSPERMIT_FIRST,Costs twice as much as before.,تكلفتها ضعف ما كانت عليه من قبل.
traveler:ACCESSPERMIT_WRONG,What the hell is access permit?,ما هو تصريح الوصول بحق الجحيم؟
traveler:ACCESSPERMIT_WRONG,Do you mean entry permit?,هل تقصد تصريح الدخول؟
traveler:ACCESSPERMIT_WRONG,I have it there.,لدي ذلك.
traveler:ACCESSPERMIT_WRONG,@I mean access permit.,@أقصد تصريح الوصول.
traveler:ACCESSPERMIT_WRONG,Never heard of it. Sounds stupid.,لم اسمع به من قبل. يبدو غبيًا.
traveler:ACCESSPERMIT_WRONG,@Entry permit and supplement are no longer accepted.,@لم يعد يتم قبول تصريح الدخول والملحق.
traveler:ACCESSPERMIT_WRONG,@Access permit replaces them.,@تصريح الوصول يحل محلهم.
traveler:ACCESSPERMIT_WRONG,@Makes my job easier.,@يجعل عملي أسهل.
traveler:ACCESSPERMIT_WRONG,I do not care about your job.,أنا لا أهتم بعملك.
traveler:ACCESSPERMIT_WRONG,Damnit.,اللعنة.
traveler:STRICT_BORDER,I've heard this is very strict checkpoint.,لقد سمعت أن هذه نقطة تفتيش صارمة للغاية.
traveler:STRICT_BORDER,I am glad my papers are in order.,أنا سعيد لأن أوراقي مرتبة.
traveler:DESPERATE_BEFORECLOSE,I have heard the border will close.,سمعت أن الحدود ستغلق.
traveler:DESPERATE_BEFORECLOSE,My access permit will not arrive in time.,تصريح الوصول الخاص بي لن يصل في الوقت المناسب.
traveler:DESPERATE_BEFORECLOSE,Please have mercy.,من فضلك، ارأف بي.
traveler:DESPERATE_BEFORECLOSE,Yes I know. I just told you that.,نعم، أعلم. لقد أخبرتك بذلك للتو.
traveler:DESPERATE_BEFORECLOSE,I am afraid the border will close before I can enter.,أخشى أن تُغلق الحدود قبل أن أتمكن من الدخول.
traveler:WALLCOMMENT_PLAQUEONE,What is this plaque on the wall?,ما هذه اللوحة التي على الحائط؟
traveler:WALLCOMMENT_PLAQUEONE,You are recognized for presence?,هل أنت معترف به بالحضور؟
traveler:WALLCOMMENT_PLAQUEONE,Way to go.,Way to go.
traveler:WALLCOMMENT_PLAQUEONE,What is this on the wall?,ما هذا الذي على الحائط؟
traveler:WALLCOMMENT_PLAQUEONE,Recognized for sufficience?,معترف به بالكفاءة؟
traveler:WALLCOMMENT_PLAQUEONE,Impressive. Why even bother with plaque?,مُبهر. لماذا نهتم باللوحة أصلًا؟
traveler:WALLCOMMENT_PLAQUEONE,You are recognized for excellence?,هل أنت معترف بك بالتميز؟
traveler:WALLCOMMENT_PLAQUEONE,I hope they give you raise and not just plaque.,أتمنى أن يمنحوك زيادة في الراتب وليس مجرد لوحة.
traveler:WALLCOMMENT_PLAQUEONE,Find a better plaque.,ابحث عن لوحة أفضل.
traveler:WALLCOMMENT_PLAQUEONE,This one looks like cheap shit.,تبدو هذه اللوحة رخيصة بشكل مقرف.
traveler:WALLCOMMENT_PLAQUEONE,Figures.,من المتوقع.
traveler:WALLCOMMENT_PLAQUEONE,You are like this plaque.,أنك مثل هذه اللوحة.
traveler:WALLCOMMENT_PLAQUEONE,Cheap shit.,رخيص بشكل مقرف.
