CONTEXT (DO NOT MODIFY),ENGLISH (DO NOT MODIFY),LOCALIZED (EDIT THIS COLUMN)
text:month_3,March,March
text:month_4,April,April
text:month_5,May,May
text:month_6,June,June
text:month_7,July,July
text:month_8,August,August
text:month_9,September,September
text:month_10,October,October
text:month_11,November,November
text:month_12,December,December
text:day_1,1st,1st
text:day_2,2nd,2nd
text:day_3,3rd,3rd
text:day_4,4th,4th
text:day_5,5th,5th
text:day_6,6th,6th
text:day_7,7th,7th
text:day_8,8th,8th
text:day_9,9th,9th
text:day_10,10th,10th
text:day_11,11th,11th
text:day_12,12th,12th
text:day_13,13th,13th
text:day_14,14th,14th
text:day_15,15th,15th
text:day_16,16th,16th
text:day_17,17th,17th
text:day_18,18th,18th
text:day_19,19th,19th
text:day_20,20th,20th
text:day_21,21st,21st
text:day_22,22nd,22nd
text:day_23,23rd,23rd
text:day_24,24th,24th
text:day_25,25th,25th
text:day_26,26th,26th
text:day_27,27th,27th
text:day_28,28th,28th
text:day_29,29th,29th
text:day_30,30th,30th
text:day_31,31st,31st
text:bulletin_default,"Arstotzka
Ministry of Admission
Official Bulletin

Inspector,

$content

Glory to Arstotzka.","Arstotzka
Ministry of Admission
Official Bulletin

Inspector,

$content

Glory to Arstotzka."
text:bulletin_notice,"Arstotzka
Ministry of Admission
Official Bulletin

NOTICE:

$content

Glory to Arstotzka.","Arstotzka
Ministry of Admission
Official Bulletin

NOTICE:

$content

Glory to Arstotzka."
text:bulletin_endless,"Arstotzka
Ministry of Admission
Official Bulletin

$style

$course

Glory to Arstotzka.","Arstotzka
Ministry of Admission
Official Bulletin

$style

$course

Glory to Arstotzka."
bulletin:1A,"Welcome to your new position at Grestin Border Checkpoint.

Stamp passport ENTRY VISA and return documents to entrant.

Entry is restricted to Arstotzkan citizens only.

Deny all foreigners.","Welcome to your new position at Grestin Border Checkpoint.

Stamp passport ENTRY VISA and return documents to entrant.

Entry is restricted to Arstotzkan citizens only.

Deny all foreigners."
bulletin:2A,"From today, foreigners with a valid passport are permitted to enter.

Your booth's INSPECTION hardware is now installed.

Check all passport information carefully for discrepancies. Deny any entrant with inconsistent information.

Continued...[PAGESNOTE]","From today, foreigners with a valid passport are permitted to enter.

Your booth's INSPECTION hardware is now installed.

Check all passport information carefully for discrepancies. Deny any entrant with inconsistent information.

Continued...[PAGESNOTE]"
bulletin:2B,"__________________________
INSPECT MODE

Enter INSPECT mode using the red button on your desk. While inspecting, highlight two pieces of discrepant information for further options.

__________________________
RULES &amp; REGULATIONS

This post is bound by Ministry of Admission rules and regulations. Study the rule book closely.","__________________________
INSPECT MODE

Enter INSPECT mode using the red button on your desk. While inspecting, highlight two pieces of discrepant information for further options.

__________________________
RULES &amp; REGULATIONS

This post is bound by Ministry of Admission rules and regulations. Study the rule book closely."
bulletin:3A,"Entry for non-citizens is now regulated. 

All foreigners require a valid ENTRY TICKET.

Verify information before stamping passport ENTRY VISA and returning all documents to entrant. [PAGESNOTE]","Entry for non-citizens is now regulated. 

All foreigners require a valid ENTRY TICKET.

Verify information before stamping passport ENTRY VISA and returning all documents to entrant. [PAGESNOTE]"
bulletin:4A,"Stricter credential requirements have been instituted.

Arstotzkan citizens must show their ID CARD.

Foreigners must secure and present a valid ENTRY PERMIT.

Entry tickets are no longer sufficient.

Continued...","Stricter credential requirements have been instituted.

Arstotzkan citizens must show their ID CARD.

Foreigners must secure and present a valid ENTRY PERMIT.

Entry tickets are no longer sufficient.

Continued..."
bulletin:4B,"A new chapter detailing document features has been added to your rulebook.

Check all information thoroughly.

Deny any applicant with discrepant documents.

Refer to the AUDIO TRANSCRIPT to correlate entrant's statements.","A new chapter detailing document features has been added to your rulebook.

Check all information thoroughly.

Deny any applicant with discrepant documents.

Refer to the AUDIO TRANSCRIPT to correlate entrant's statements."
bulletin:5A,"You are now authorized to detain suspicious individuals.

Interrogate discrepancies to enable detention option.","You are now authorized to detain suspicious individuals.

Interrogate discrepancies to enable detention option."
bulletin:6A,"The Ministry of Labor has instituted a special program to control immigrant labor.

Travelers entering for work require a valid WORK PASS.","The Ministry of Labor has instituted a special program to control immigrant labor.

Travelers entering for work require a valid WORK PASS."
bulletin:7A,"To facilitate more thorough inspections, a SEARCH scanner system has been installed in your booth.

Kolechian extremists are suspected in yesterday's bombing. 

Search all Kolechians before approving their entry.","To facilitate more thorough inspections, a SEARCH scanner system has been installed in your booth.

Kolechian extremists are suspected in yesterday's bombing. 

Search all Kolechians before approving their entry."
bulletin:8A,"The Kolechians have filed a formal complaint. 

A diplomat will arrive today for high-level discussions.

Automatic searches of Kolechian citizens are no longer authorized.

Continued...[PAGESNOTE]","The Kolechians have filed a formal complaint. 

A diplomat will arrive today for high-level discussions.

Automatic searches of Kolechian citizens are no longer authorized.

Continued...[PAGESNOTE]"
bulletin:8B,"__________________________
DIPLOMATS

Diplomats require only a PASSPORT and valid DIPLOMATIC AUTHORIZATION to enter. 

Refer to the rulebook for updated document information.","__________________________
DIPLOMATS

Diplomats require only a PASSPORT and valid DIPLOMATIC AUTHORIZATION to enter. 

Refer to the rulebook for updated document information."
bulletin:9A,"An undercover agent of the Ministry of Information has been compromised.

The Ministry of Admission has offered its services as liaison. Expect a possible drop later today.","An undercover agent of the Ministry of Information has been compromised.

The Ministry of Admission has offered its services as liaison. Expect a possible drop later today."
bulletin:10A,"The divisional authority of East Grestin operations will visit today.

Maintain your best behavior.","The divisional authority of East Grestin operations will visit today.

Maintain your best behavior."
bulletin:11A,"A break-in at M.O.A. offices may have compromised our document sealing plates.

Nothing important was stolen but intelligence suggests counterfeiters have already begun forging official Arstotzkan documents.

Continued...","A break-in at M.O.A. offices may have compromised our document sealing plates.

Nothing important was stolen but intelligence suggests counterfeiters have already begun forging official Arstotzkan documents.

Continued..."
bulletin:11B,"__________________________
FORGERIES

Double-check that required documents contain valid seals. 

Correlate missing or wrong seals against the appropriate entries in the DOCUMENTS chapter of your rulebook.","__________________________
FORGERIES

Double-check that required documents contain valid seals. 

Correlate missing or wrong seals against the appropriate entries in the DOCUMENTS chapter of your rulebook."
bulletin:13A,"The new director is unsatisfied with the level of scrutiny afforded to foreigners.

From today forward, all foreign entrants must present a recent IDENTITY SUPPLEMENT listing weight, height, and appearance.

The rulebook DOCUMENTS chapter has been updated.","The new director is unsatisfied with the level of scrutiny afforded to foreigners.

From today forward, all foreign entrants must present a recent IDENTITY SUPPLEMENT listing weight, height, and appearance.

The rulebook DOCUMENTS chapter has been updated."
bulletin:14A,"The Ministry of Justice has requested our support.

Daily bulletins will now contain a listing of the top 3 most wanted international criminals.

Check faces against entrants and detain suspects immediately.[PAGESNOTE]","The Ministry of Justice has requested our support.

Daily bulletins will now contain a listing of the top 3 most wanted international criminals.

Check faces against entrants and detain suspects immediately.[PAGESNOTE]"
bulletin:16A,"The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]","The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]"
bulletin:16B,"__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page."
bulletin:18A,"Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued..."
bulletin:18B,"__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available."
