CONTEXT (DO NOT MODIFY),ENGLISH (DO NOT MODIFY),LOCALIZED (EDIT THIS COLUMN)
traveler:JORJI4,Or cheap! Haha!,Or cheap! Haha!
traveler:JORJI4,@I told you not to come back.,@I told you not to come back.
traveler:JORJI4,This is crap.,This is crap.
traveler:JORJI4,You know what? Forget it.,You know what? Forget it.
traveler:JORJI4,Arstotzka worst country.,Arstotzka worst country.
traveler:JORJI4,You worst person.,You worst person.
traveler:JORJI4,Thank you so much!,Thank you so much!
traveler:JORJI4,"If I am honest to you, I was little nervous.","If I am honest to you, I was little nervous."
traveler:JORJI4,Even with right papers is hard to say.,Even with right papers is hard to say.
traveler:JORJI4,Ok bye!,Ok bye!
traveler:JORJI_SMUGGLE0,Again I am here!,Again I am here!
traveler:JORJI_SMUGGLE0,Everything all set up now.,Everything all set up now.
traveler:JORJI_SMUGGLE0,I come through often to see you.,I come through often to see you.
traveler:JORJI_SMUGGLE0,We become good friends!,We become good friends!
traveler:JORJI_SMUGGLE0,@Your weight is different.,@Your weight is different.
traveler:JORJI_SMUGGLE0,Is sad story.,Is sad story.
traveler:JORJI_SMUGGLE0,My wife very bad cook.,My wife very bad cook.
traveler:JORJI_SMUGGLE0,"But if I do not eat, she get angry.","But if I do not eat, she get angry."
traveler:JORJI_SMUGGLE0,"Uh oh, maybe you not like this!","Uh oh, maybe you not like this!"
traveler:JORJI_SMUGGLE0,@What is this?,@What is this?
traveler:JORJI_SMUGGLE0,Is drugs!,Is drugs!
traveler:JORJI_SMUGGLE0,I have little side business here.,I have little side business here.
traveler:JORJI_SMUGGLE0,You let me through and I give you something something.,You let me through and I give you something something.
traveler:JORJI_SMUGGLE0,@Something what?,@Something what?
traveler:JORJI_SMUGGLE0,Ten credits.,Ten credits.
traveler:JORJI_SMUGGLE0,I give you ten credits for just little stamp.,I give you ten credits for just little stamp.
traveler:JORJI_SMUGGLE0,@Wait here Jorji.,@Wait here Jorji.
traveler:JORJI_SMUGGLE0,"Is ok, I understand.","Is ok, I understand."
traveler:JORJI_SMUGGLE0,Drugs are bad. Not good for kids.,Drugs are bad. Not good for kids.
traveler:JORJI_SMUGGLE0,You do great work here still.,You do great work here still.
traveler:JORJI_SMUGGLE0,Ok!,Ok!
traveler:JORJI_SMUGGLE0,We go full speed!,We go full speed!
traveler:JORJI_SMUGGLE0,Hey what is problem?,Hey what is problem?
traveler:JORJI_SMUGGLE0,@I do not trust you.,@I do not trust you.
traveler:JORJI_SMUGGLE0,"Ok, ok.","Ok, ok."
traveler:JORJI_SMUGGLE0,You good guy so I win trust next time.,You good guy so I win trust next time.
traveler:JORJI_SMUGGLE1,"Ok, I am back!","Ok, I am back!"
traveler:JORJI_SMUGGLE1,Same procedure!,Same procedure!
traveler:JORJI_SMUGGLE1,They told me this hard business.,They told me this hard business.
traveler:JORJI_SMUGGLE1,So far everything smooth like ice!,So far everything smooth like ice!
traveler:JORJI_SMUGGLE1,Thanks to you!,Thanks to you!
traveler:JORJI_SMUGGLE1,Buy something happy for wife.,Buy something happy for wife.
traveler:JORJI_SMUGGLE1,Phew!,Phew!
traveler:JORJI_SMUGGLE1,"Was tough one. Lucky for me, guard was easy.","Was tough one. Lucky for me, guard was easy."
traveler:JORJI_SMUGGLE1,He asks for big money but is reasonable man.,He asks for big money but is reasonable man.
traveler:JORJI_SMUGGLE1,"Oh man, again!","Oh man, again!"
traveler:JORJI_SMUGGLE1,That guard have another good day.,That guard have another good day.
traveler:JORJI_SMUGGLE1,Not sure I keep this up with no sales!,Not sure I keep this up with no sales!
traveler:JORJI_SMUGGLE1,"Ok, we try again!","Ok, we try again!"
traveler:JORJI_SMUGGLE1,"Sorry to bother you, but this my only job.","Sorry to bother you, but this my only job."
traveler:JORJI_SMUGGLE1,"@Wait here, Jorji.","@Wait here, Jorji."
traveler:JORJI_SMUGGLE1,"Is ok, I understand.","Is ok, I understand."
traveler:JORJI_SMUGGLE1,Drugs are bad. Not good for kids.,Drugs are bad. Not good for kids.
traveler:JORJI_SMUGGLE1,You do great work here still.,You do great work here still.
traveler:JORJI_SMUGGLE1,@I see a difference here.,@I see a difference here.
traveler:JORJI_SMUGGLE1,Is real mystery for sure.,Is real mystery for sure.
traveler:JORJI_SMUGGLE1,Maybe things get too sexy in here.,Maybe things get too sexy in here.
traveler:JORJI_SMUGGLE1,@Drugs?,@Drugs?
traveler:JORJI_SMUGGLE1,Looks like good stuff right?,Looks like good stuff right?
traveler:JORJI_SMUGGLE1,Wait! I give you 10 credits for ok stamp!,Wait! I give you 10 credits for ok stamp!
traveler:JORJI_SMUGGLE1,Think about family!,Think about family!
traveler:JORJI_SMUGGLE1,They can buy many happy things with these credits.,They can buy many happy things with these credits.
traveler:JORJI_SMUGGLE1,Just for little harmless drugs!,Just for little harmless drugs!
traveler:JORJI_SMUGGLE1,"This much better, see?","This much better, see?"
traveler:JORJI_SMUGGLE1,"Wow, you really stand-up guy.","Wow, you really stand-up guy."
traveler:JORJI_SMUGGLE1,Maybe is not so good for me when I think about.,Maybe is not so good for me when I think about.
traveler:JORJI_CRIMINAL,Is good to see you again!,Is good to see you again!
traveler:JORJI_CRIMINAL,Today I come just for short visit.,Today I come just for short visit.
traveler:JORJI_CRIMINAL,Everything is definitely ok with me.,Everything is definitely ok with me.
traveler:JORJI_CRIMINAL,For sure I am not in criminal bulletin or anything!,For sure I am not in criminal bulletin or anything!
traveler:JORJI_CRIMINAL,@Your face is in wanted bulletin.,@Your face is in wanted bulletin.
traveler:JORJI_CRIMINAL,What! I pay police like crazy!,What! I pay police like crazy!
traveler:JORJI_CRIMINAL,They promise no bulletin. All clear they say.,They promise no bulletin. All clear they say.
traveler:JORJI_CRIMINAL,I think twice about trusting friendly people.,I think twice about trusting friendly people.
traveler:JORJI_CRIMINAL,Hey I really like you.,Hey I really like you.
traveler:JORJI_CRIMINAL,I know is risky to help me like this.,I know is risky to help me like this.
traveler:JORJI_CRIMINAL,I try to make it up for you.,I try to make it up for you.
traveler:JORJI_CRIMINAL,"Ah, is ok.","Ah, is ok."
traveler:JORJI_CRIMINAL,At least you do not arrest me.,At least you do not arrest me.
traveler:JORJI_CRIMINAL,Thanks anyways.,Thanks anyways.
traveler:JORJI_CRIMINAL,@Sorry Jorji.,@Sorry Jorji.
traveler:JORJI_CRIMINAL,"Ah, is ok. Most police know me now.","Ah, is ok. Most police know me now."
traveler:JORJI_CRIMINAL,I have little talk with them again.,I have little talk with them again.
traveler:JORJI_CRIMINAL,"Anyway, you have tough job.","Anyway, you have tough job."
traveler:JORJI_CRIMINAL,I rather sell drugs!,I rather sell drugs!
traveler:JORJI_PASSPORTS,I read newspaper.,I read newspaper.
traveler:JORJI_PASSPORTS,@Hello Jorji.,@Hello Jorji.
traveler:JORJI_PASSPORTS,Things getting little crazy in Arstotzka.,Things getting little crazy in Arstotzka.
traveler:JORJI_PASSPORTS,Maybe you think about going away for a bit.,Maybe you think about going away for a bit.
traveler:JORJI_PASSPORTS,Obristan is good place.,Obristan is good place.
traveler:JORJI_PASSPORTS,Right next door up north.,Right next door up north.
traveler:JORJI_PASSPORTS,@Our passports have been confiscated.,@Our passports have been confiscated.
traveler:JORJI_PASSPORTS,@We cannot leave.,@We cannot leave.
traveler:JORJI_PASSPORTS,Hey that not good sign.,Hey that not good sign.
traveler:JORJI_PASSPORTS,Hold on.,Hold on.
traveler:JORJI_PASSPORTS,I know a guy.,I know a guy.
traveler:JORJI_PASSPORTS,Just give him real passports to work with.,Just give him real passports to work with.
traveler:JORJI_PASSPORTS,He changes info to match for you.,He changes info to match for you.
traveler:JORJI_PASSPORTS,I learn that in hard way.,I learn that in hard way.
traveler:JORJI_PASSPORTS,Thanks again!,Thanks again!
traveler:JORJI_PASSPORTS,Bah! Maybe you right.,Bah! Maybe you right.
traveler:JORJI_PASSPORTS,Better to take little break.,Better to take little break.
traveler:JORJI_PASSPORTS,Hey what the hell?,Hey what the hell?
traveler:JORJI_PASSPORTS,You take my passport!,You take my passport!
traveler:JORJI_PASSPORTS,You can see it was expensive!,You can see it was expensive!
traveler:JORJI_PASSPORTS,@You said I need real Obristan passports.,@You said I need real Obristan passports.
traveler:JORJI_PASSPORTS,Man. Fine.,Man. Fine.
traveler:JORJI_PASSPORTS,I get another but little unhappy about it.,I get another but little unhappy about it.
traveler:JORJI_PASSPORTS,Memorize flyer and give back.,Memorize flyer and give back.
traveler:JORJI_PASSPORTS,Hey you know what.,Hey you know what.
traveler:JORJI_PASSPORTS,Take my passport.,Take my passport.
traveler:JORJI_PASSPORTS,I get another one no problem.,I get another one no problem.
traveler:JORJI_PASSPORTS,Now memorize flyer and give back if you finish reading.,Now memorize flyer and give back if you finish reading.
traveler:JORJI_PASSPORTS,Do not want to get in trouble!,Do not want to get in trouble!
traveler:JORJI_PASSPORTS,Obristan really great this time of year.,Obristan really great this time of year.
